texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:309:26:309:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:313:32:313:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:313:35:313:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:315:30:315:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:320:33:320:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:325:26:325:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:330:25:330:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:339:29:339:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:340:1:340:86: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:340:38:340:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:340:41:340:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:340:65:340:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:340:66:340:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:344:42:344:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:344:43:344:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:346:27:346:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:347:29:347:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:349:36:349:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:351:38:351:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:351:41:351:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:352:28:352:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:353:31:353:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:354:30:354:30: s204 missing stylistic whitespaces
