texmf-dist/tex/fontinst/base/xfntinst.sty:187:28:187:36: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:187:37:187:37: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:187:59:187:59: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:188:6:188:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:188:6:188:16: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:188:17:188:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:189:13:189:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:189:22:189:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:191:5:191:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:191:5:191:17: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:191:18:191:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:191:45:191:45: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:192:9:192:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:192:23:192:23: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:193:11:193:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:193:26:193:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:193:27:193:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:193:28:193:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:194:11:194:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:194:26:194:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:194:27:194:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:194:40:194:40: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:195:5:195:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:195:5:195:20: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:195:21:195:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:196:12:196:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:197:12:197:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:198:26:198:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:200:17:200:17: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:200:34:200:41: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:200:42:200:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:200:43:200:55: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:201:18:201:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:201:19:201:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:202:18:202:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:205:19:205:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:208:18:208:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:209:17:209:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:209:27:209:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:209:44:209:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:209:52:209:52: s204 missing stylistic whitespaces
