texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:159:45:159:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:159:46:159:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:159:47:159:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:160:36:160:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:161:34:161:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:163:36:163:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:163:45:163:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:163:46:163:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:163:47:163:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:164:37:164:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:173:27:173:36: s412 malformed function name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:176:14:176:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:183:33:183:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:183:42:183:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:183:43:183:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:183:44:183:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:184:34:184:34: s204 missing stylistic whitespaces
