texmf-dist/tex/latex/endiagram/endiagram.sty:590:60:590:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:590:61:590:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:590:62:590:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:596:48:596:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:643:50:643:70: w302 unbraced n-type function call argument
texmf-dist/tex/latex/endiagram/endiagram.sty:643:72:643:77: w302 unbraced n-type function call argument
texmf-dist/tex/latex/endiagram/endiagram.sty:652:37:652:38: w302 unbraced n-type function call argument
texmf-dist/tex/latex/endiagram/endiagram.sty:689:18:689:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:695:32:695:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:695:62:695:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:696:32:696:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:696:60:696:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:698:1:698:87: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:709:1:709:84: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:720:22:720:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:720:52:720:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:722:20:722:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:722:48:722:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:723:20:723:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:723:49:723:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:724:1:724:82: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:724:20:724:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:724:82:724:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:738:59:738:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:739:56:739:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:749:63:749:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:750:60:750:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:756:66:756:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:757:63:757:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/endiagram/endiagram.sty:777:1:777:82: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:780:1:780:90: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:781:1:781:84: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:783:1:783:86: s103 line too long
texmf-dist/tex/latex/endiagram/endiagram.sty:784:1:784:86: s103 line too long
