texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:71:20:71:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:71:21:71:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:71:22:71:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:71:42:71:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:74:15:74:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:74:20:74:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:74:21:74:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:74:22:74:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:74:42:74:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:77:15:77:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:77:20:77:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:77:21:77:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:77:22:77:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:77:38:77:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:80:15:80:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:80:20:80:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:80:21:80:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:80:22:80:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:80:44:80:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:83:15:83:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:83:20:83:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:83:21:83:21: s204 missing stylistic whitespaces
