texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:1:95:139: s103 line too long
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:8:95:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:22:95:37: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:38:95:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:39:95:60: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:62:95:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:76:95:91: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:92:95:92: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:93:95:114: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:115:95:115: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:123:95:137: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:95:138:95:138: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:97:22:97:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:97:36:97:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:97:60:97:64: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:12:98:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:30:98:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:43:98:52: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:53:98:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:71:98:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:98:72:98:72: s204 missing stylistic whitespaces
texmf-dist/tex/generic/chemfig/chemfig-lewis.tex:99:1:99:87: s103 line too long
