texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:391:31:391:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:391:49:391:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:391:51:391:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:391:69:391:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:392:53:392:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:26:396:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:30:396:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:35:396:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:37:396:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:42:396:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:44:396:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:49:396:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:51:396:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:56:396:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:57:396:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:64:396:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:65:396:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:68:396:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:69:396:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:396:80:396:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:397:48:397:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:398:1:398:112: s103 line too long
