texmf-dist/tex/generic/xint/xintkernel.sty:208:18:208:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:209:5:209:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:22:210:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:23:210:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:50:210:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:210:51:210:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:211:22:211:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:212:39:212:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:212:40:212:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:213:22:213:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:213:38:213:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:214:14:214:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:215:22:215:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:216:71:216:71: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:216:72:216:72: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:218:5:218:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:219:5:219:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:220:10:220:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:220:32:220:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:221:10:221:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:221:34:221:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:222:10:222:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:222:36:222:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:223:10:223:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:223:38:223:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:224:10:224:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:224:40:224:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:225:10:225:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:225:42:225:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:226:10:226:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:226:44:226:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:227:10:227:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:227:46:227:46: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:228:5:228:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:229:10:229:28: s204 missing stylistic whitespaces
