texmf-dist/tex/latex/mathtools/mathtools.sty:159:34:159:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:159:35:159:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:162:31:162:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:162:32:162:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:163:17:163:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:163:32:163:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:165:21:165:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:165:30:165:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:165:31:165:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:165:32:165:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:167:44:167:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:168:10:168:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:168:57:168:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:168:58:168:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:19:169:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:27:169:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:28:169:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:39:169:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:59:169:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:169:60:169:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:15:171:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:23:171:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:24:171:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:35:171:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:50:171:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:171:51:171:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:172:22:172:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:172:36:172:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:172:37:172:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:174:22:174:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:174:50:174:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:177:20:177:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:177:30:177:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:178:20:178:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:178:31:178:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:181:10:181:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:181:31:181:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:181:41:181:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:186:10:186:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:186:31:186:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:186:41:186:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:189:5:189:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:190:24:190:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:190:35:190:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:192:25:192:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:192:35:192:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:192:36:192:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:193:27:193:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:193:43:193:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:195:22:195:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:195:30:195:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:196:6:196:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:196:15:196:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:196:16:196:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:198:25:198:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:198:35:198:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:199:29:199:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:199:45:199:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:202:27:202:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:203:24:203:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:203:45:203:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:203:55:203:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:210:23:210:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:211:23:211:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:212:29:212:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:212:37:212:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:212:38:212:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:216:10:216:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:216:31:216:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:216:42:216:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:218:5:218:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:222:25:222:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:222:36:222:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:224:29:224:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:224:45:224:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:227:27:227:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:235:10:235:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:235:31:235:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:235:41:235:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mathtools/mathtools.sty:237:5:237:24: s204 missing stylistic whitespaces
