texmf-dist/tex/plain/xintsession/xintsession.tex:102:17:102:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:102:29:102:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:103:2:103:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:1:104:86: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:104:5:104:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:18:104:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:28:104:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:37:104:37: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:43:104:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:55:104:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:69:104:81: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:82:104:82: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:86:104:86: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:104:87:104:87: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:105:10:105:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:106:2:106:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:107:16:107:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:107:42:107:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:108:22:108:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:109:24:109:35: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:111:1:111:81: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:111:15:111:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:111:16:111:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:111:41:111:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:111:55:111:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:112:24:112:24: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:112:25:112:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:115:2:115:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:116:10:116:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:116:21:116:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:117:2:117:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:118:9:118:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:118:15:118:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:118:16:118:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:118:22:118:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:118:37:118:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:119:2:119:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:120:5:120:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:121:2:121:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:122:1:122:90: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:122:54:122:59: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:122:60:122:60: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:122:79:122:87: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:123:16:123:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:123:27:123:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:123:34:123:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:124:2:124:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:5:125:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:26:125:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:37:125:43: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:44:125:44: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:46:125:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:47:125:57: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:58:125:69: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:70:125:70: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:125:71:125:71: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:126:5:126:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:126:16:126:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:127:2:127:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:128:1:128:88: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:128:15:128:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:128:16:128:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:128:88:128:88: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:128:89:128:89: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:130:2:130:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:131:5:131:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:131:12:131:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:132:2:132:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:133:15:133:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:133:16:133:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:133:42:133:42: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:133:43:133:43: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:134:15:134:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:134:16:134:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:134:54:134:54: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:134:55:134:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:136:23:136:29: s204 missing stylistic whitespaces
