texmf-dist/tex/latex/tutodoc/tutodoc.cls:1319:21:1319:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1324:11:1324:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1324:17:1324:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1324:18:1324:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1324:19:1324:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1324:24:1324:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1325:4:1325:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:3:1343:19: w202 deprecated control sequences
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:29:1343:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:32:1343:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:40:1343:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:41:1343:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:49:1343:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:50:1343:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1343:63:1343:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1345:4:1345:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1366:28:1366:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1366:32:1366:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1498:12:1498:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1498:39:1498:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1498:40:1498:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1499:46:1499:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1499:47:1499:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1500:20:1500:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1500:29:1500:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1501:8:1501:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1501:9:1501:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1503:8:1503:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1503:38:1503:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1505:8:1505:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1505:12:1505:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1510:2:1510:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:25:1528:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:34:1528:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:35:1528:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:42:1528:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:46:1528:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1528:50:1528:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1529:16:1529:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1537:1:1537:84: s103 line too long
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1538:1:1538:85: s103 line too long
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1541:12:1541:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1541:52:1541:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1543:16:1543:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1543:43:1543:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1543:44:1543:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1543:45:1543:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1546:16:1546:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1546:56:1546:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1547:22:1547:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1547:36:1547:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1548:20:1548:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1550:6:1550:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1555:20:1555:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1560:28:1560:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1560:65:1560:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1560:66:1560:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1562:9:1562:9: w303 braced N-type function call argument
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1562:10:1562:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1562:40:1562:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1563:10:1563:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1563:37:1563:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1564:10:1564:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1564:34:1564:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1569:12:1569:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1569:19:1569:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1570:2:1570:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1571:10:1571:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1571:17:1571:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1588:12:1588:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1588:39:1588:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1588:40:1588:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1590:42:1590:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1591:14:1591:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1591:23:1591:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1591:24:1591:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1592:6:1592:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1593:12:1593:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1593:21:1593:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1596:2:1596:2: s204 missing stylistic whitespaces
