texmf-dist/tex/generic/tuple/tuple.tex:78:15:78:15: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:80:16:80:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:82:3:82:3: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:83:14:83:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:83:28:83:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:83:31:83:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:5:89:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:21:89:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:24:89:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:42:89:42: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:53:89:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:89:54:89:54: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:90:5:90:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:90:23:90:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:90:28:90:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:90:29:90:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:93:9:93:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:93:22:93:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:93:40:93:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:93:57:93:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:93:58:93:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:100:5:100:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:100:21:100:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:100:26:100:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:101:14:101:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:101:19:101:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:101:29:101:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:101:30:101:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:101:34:101:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:102:14:102:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:102:19:102:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:102:29:102:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:102:30:102:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:102:34:102:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:103:14:103:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:103:15:103:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:103:25:103:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:103:35:103:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:105:19:105:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:106:18:106:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:106:22:106:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:106:23:106:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/tuple/tuple.tex:106:26:106:26: s204 missing stylistic whitespaces
