texmf-dist/tex/latex/polyglossia/polyglossia.sty:546:24:546:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:546:25:546:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:546:48:546:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:556:1:556:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:558:1:558:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:560:1:560:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:584:22:584:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:584:42:584:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:584:45:584:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:584:46:584:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:601:15:601:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:601:16:601:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:601:32:601:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:601:56:601:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:601:60:601:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:604:23:604:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:604:24:604:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:605:41:605:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:608:20:608:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:608:24:608:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:608:25:608:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:608:32:608:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:610:34:610:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:610:37:610:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:612:25:612:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:612:41:612:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:615:35:615:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:615:38:615:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:617:27:617:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:617:43:617:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:620:6:620:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:621:31:621:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:623:25:623:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:634:15:634:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:634:16:634:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:634:32:634:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:634:56:634:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:634:60:634:60: s204 missing stylistic whitespaces
