texmf-dist/tex/fontinst/base/finstmsc.sty:220:15:220:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:222:19:222:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:223:32:223:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:229:25:229:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:229:33:229:33: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:229:36:229:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:230:18:230:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:230:35:230:42: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:230:43:230:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:230:44:230:44: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:231:25:231:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:234:5:234:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:234:16:234:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:235:14:235:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:236:19:236:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:237:31:237:31: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:240:48:240:48: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:243:17:243:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:243:27:243:27: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:243:47:243:47: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:243:48:243:60: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:245:25:245:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:248:5:248:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:248:15:248:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/finstmsc.sty:248:42:248:42: s204 missing stylistic whitespaces
