texmf-dist/tex/generic/xint/xintcore.sty:129:5:129:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:129:29:129:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:129:40:129:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:129:44:129:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:129:45:129:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:130:5:130:27: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:130:28:130:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:130:39:130:39: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:130:43:130:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:130:44:130:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:131:5:131:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:131:18:131:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:131:26:131:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:132:5:132:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:132:25:132:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:132:36:132:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:132:40:132:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:132:41:132:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:133:5:133:17: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:133:18:133:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:133:26:133:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:134:5:134:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:134:20:134:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:134:28:134:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:134:44:134:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:135:5:135:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:135:19:135:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:135:30:135:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:135:34:135:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:135:35:135:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:136:5:136:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:136:20:136:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:136:31:136:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:136:35:136:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:136:36:136:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:138:20:138:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:139:42:139:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:140:11:140:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:140:20:140:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:141:27:141:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:141:36:141:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:141:51:141:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:143:11:143:19: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:143:20:143:20: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:144:27:144:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:144:36:144:36: s204 missing stylistic whitespaces
