texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:194:55:194:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:194:64:194:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:198:44:198:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:198:47:198:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:198:50:198:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:198:55:198:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:201:59:201:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:208:63:208:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:217:36:217:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:217:39:217:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:217:43:217:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:1:220:110: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:26:220:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:46:220:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:47:220:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:81:220:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:94:220:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:220:110:220:110: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:249:46:249:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:291:42:291:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:297:2:297:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:304:58:304:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:311:46:311:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:311:55:311:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:311:70:311:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:311:72:311:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:315:55:315:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:316:1:316:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:317:55:317:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:318:1:318:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:319:55:319:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:320:1:320:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:321:1:321:85: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:327:1:327:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:327:40:327:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:327:83:327:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:327:92:327:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:333:1:333:116: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:333:40:333:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:333:106:333:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:333:115:333:115: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:338:49:338:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:338:62:338:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:339:49:339:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:339:58:339:58: s204 missing stylistic whitespaces
