texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:301:50:301:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:304:52:304:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:304:60:304:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:305:54:305:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:309:1:309:96: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:309:39:309:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:309:44:309:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:309:89:309:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:312:33:312:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:312:36:312:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:312:39:312:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:312:42:312:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:314:40:314:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:315:42:315:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:315:43:315:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:317:38:317:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:317:41:317:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:317:44:317:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:317:47:317:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:319:46:319:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:320:50:320:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:324:40:324:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:324:43:324:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:324:46:324:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:324:49:324:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:326:50:326:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:327:55:327:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:328:1:328:159: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:328:45:328:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:328:98:328:98: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:328:151:328:151: s204 missing stylistic whitespaces
