texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:76:143:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:76:143:89: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:143:90:143:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:149:33:149:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:153:34:153:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:163:60:163:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:163:68:163:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:165:6:165:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:165:9:165:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:166:31:166:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:166:72:166:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:166:73:166:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:167:47:167:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:167:65:167:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:1:170:98: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:23:170:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:42:170:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:45:170:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:80:170:96: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:170:97:170:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:1:171:96: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:28:171:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:42:171:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:51:171:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:54:171:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:94:171:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:171:95:171:95: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:173:1:173:87: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:173:22:173:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:173:67:173:80: w202 deprecated control sequences
texmf-dist/tex/latex/tuda-ci/tudapub.cls:173:86:173:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:1:177:125: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:34:177:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:97:177:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:105:177:105: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:106:177:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:107:177:107: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:123:177:123: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:177:124:177:124: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:178:23:178:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:178:40:178:40: s204 missing stylistic whitespaces
