texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:300:26:300:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:301:29:301:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:301:38:301:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:301:41:301:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:301:74:301:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:303:16:303:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:303:23:303:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:305:10:305:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:305:19:305:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:306:31:306:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:306:32:306:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:306:37:306:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:341:12:341:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:341:18:341:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:342:14:342:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:342:21:342:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:342:22:342:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:342:25:342:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:342:39:342:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:17:344:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:22:344:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:34:344:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:42:344:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:54:344:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:344:58:344:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:345:17:345:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:345:22:345:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:345:34:345:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:345:40:345:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:349:12:349:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:349:19:349:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:350:10:350:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:350:16:350:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:353:13:353:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:353:20:353:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:355:7:355:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:356:7:356:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:358:6:358:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:360:7:360:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:360:11:360:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/magicthegathering/magicthegathering.sty:360:12:360:12: s204 missing stylistic whitespaces
