texmf-dist/tex/latex/circledtext/circledtext.sty:681:1:681:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:682:1:682:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:683:1:683:86: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:688:26:688:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:688:31:688:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:692:1:692:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:693:1:693:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:700:1:700:90: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:701:1:701:87: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:702:1:702:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:702:80:702:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:702:84:702:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:702:87:702:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:702:91:702:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:706:26:706:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:706:31:706:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:710:1:710:92: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:711:1:711:94: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:712:1:712:86: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:719:1:719:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:720:1:720:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:721:1:721:86: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:721:75:721:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:721:79:721:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:721:82:721:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:721:86:721:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:729:61:729:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:729:64:729:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:729:67:729:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:729:70:729:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:735:59:735:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:735:63:735:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:735:66:735:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:735:70:735:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:738:59:738:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:738:63:738:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:738:66:738:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:738:70:738:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:741:59:741:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:741:63:741:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:741:66:741:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:741:70:741:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:743:59:743:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:743:63:743:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:743:66:743:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:743:70:743:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:752:61:752:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:752:64:752:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:752:67:752:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:752:70:752:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:754:59:754:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:757:59:757:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:758:59:758:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:758:63:758:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:758:66:758:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:758:70:758:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:760:59:760:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:761:59:761:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:761:63:761:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:761:66:761:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:761:70:761:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:764:59:764:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:764:63:764:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:764:66:764:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:764:70:764:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:766:59:766:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:766:63:766:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:766:66:766:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:766:70:766:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:770:1:770:81: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:798:24:798:25: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:798:29:798:39: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:801:28:801:29: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:801:33:801:43: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:819:24:819:25: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:819:29:819:39: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:821:28:821:29: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:821:33:821:43: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:825:28:825:29: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:825:33:825:43: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:831:1:831:50: w401 unused private function
texmf-dist/tex/latex/circledtext/circledtext.sty:858:8:858:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:863:8:863:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:867:1:867:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:871:1:871:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:874:8:874:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:885:8:885:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:896:8:896:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:901:8:901:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:904:1:904:94: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:911:8:911:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:917:1:917:94: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:921:8:921:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:931:1:931:44: w423 unused message
texmf-dist/tex/latex/circledtext/circledtext.sty:941:19:941:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:941:54:941:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:943:10:943:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:943:11:943:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:943:12:943:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:944:10:944:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:944:11:944:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:944:12:944:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:945:1:945:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:947:10:947:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:947:11:947:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:947:12:947:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:948:1:948:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:950:10:950:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:950:11:950:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:950:12:950:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:956:1:956:70: w402 unused private function variant
texmf-dist/tex/latex/circledtext/circledtext.sty:957:1:957:70: w402 unused private function variant
texmf-dist/tex/latex/circledtext/circledtext.sty:975:1:975:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:982:1:982:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1002:1:1002:81: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1003:1:1003:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1004:1:1004:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1009:1:1009:81: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1010:1:1010:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1011:1:1011:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1015:1:1015:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1016:1:1016:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1022:1:1022:87: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1025:1:1025:84: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1027:1:1027:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1032:1:1032:90: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1038:1:1038:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1042:1:1042:88: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1042:29:1042:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1043:1:1043:81: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1048:1:1048:82: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1056:1:1056:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1058:1:1058:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1060:1:1060:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1060:34:1060:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1061:1:1061:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1070:1:1070:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1072:1:1072:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1074:1:1074:91: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1074:34:1074:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1075:1:1075:85: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1084:1:1084:81: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1086:1:1086:84: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1088:1:1088:89: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1088:33:1088:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1089:1:1089:84: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1113:23:1113:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1113:23:1113:36: w202 deprecated control sequences
texmf-dist/tex/latex/circledtext/circledtext.sty:1113:37:1113:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1122:4:1122:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1129:8:1129:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1160:8:1160:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1202:1:1202:83: s103 line too long
texmf-dist/tex/latex/circledtext/circledtext.sty:1206:32:1206:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1215:18:1215:45: w416 setting an undeclared variable
texmf-dist/tex/latex/circledtext/circledtext.sty:1230:12:1230:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/circledtext/circledtext.sty:1249:23:1249:33: w302 unbraced n-type function call argument
texmf-dist/tex/latex/circledtext/circledtext.sty:1249:37:1249:47: w302 unbraced n-type function call argument
