texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:216:51:216:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:27:217:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:28:217:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:40:217:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:41:217:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:42:217:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:217:56:217:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:28:218:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:29:218:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:41:218:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:42:218:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:43:218:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:218:56:218:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:27:219:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:28:219:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:34:219:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:35:219:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:36:219:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:219:42:219:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:28:220:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:29:220:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:35:220:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:36:220:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:37:220:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:220:51:220:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:221:27:221:27: s204 missing stylistic whitespaces
