texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:220:34:220:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:220:35:220:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:220:49:220:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:28:221:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:29:221:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:34:221:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:35:221:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:36:221:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:221:50:221:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:27:222:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:28:222:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:38:222:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:39:222:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:40:222:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:222:47:222:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:28:223:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:29:223:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:39:223:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:40:223:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:41:223:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:223:51:223:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:27:224:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:28:224:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:32:224:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:33:224:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:34:224:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:224:49:224:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:28:225:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:29:225:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:33:225:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:34:225:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:35:225:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:225:50:225:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:27:226:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:28:226:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:32:226:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:33:226:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:226:34:226:34: s204 missing stylistic whitespaces
