texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:61:54:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:62:54:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:54:65:54:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:30:55:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:40:55:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:41:55:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:42:55:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:43:55:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:44:55:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:44:55:60: w202 deprecated control sequences
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:55:61:55:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:56:29:56:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:56:39:56:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:56:54:56:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:56:55:56:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:56:65:56:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:57:1:57:81: s103 line too long
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:57:25:57:58: s204 missing stylistic whitespaces
